year,region_original,region,season,measure,unit,value,source_type,source_file,source_sheet,source_table,source_excel_row
2019,Hail,Hail,Rest of the year,Consumption,kWh,2929853057.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Hail,Hail,Rest of the year,Cost,SAR,652352964.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Hail,Hail,Winter,Consumption,kWh,931962566.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Hail,Hail,Winter,Cost,SAR,236304535.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Jazan,Jazan,Rest of the year,Consumption,kWh,7109585707.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Jazan,Jazan,Rest of the year,Cost,SAR,1840470440.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Jazan,Jazan,Winter,Consumption,kWh,2287978519.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Jazan,Jazan,Winter,Cost,SAR,583000149.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Madinah,Madinah,Rest of the year,Consumption,kWh,10426896795.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Madinah,Madinah,Rest of the year,Cost,SAR,2932372309.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Madinah,Madinah,Winter,Consumption,kWh,2896966402.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Madinah,Madinah,Winter,Cost,SAR,619823275.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Makkah,Makkah,Rest of the year,Consumption,kWh,39835650154.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Makkah,Makkah,Rest of the year,Cost,SAR,10470931097.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
